Id,Label,indegree,outdegree,Degree,pageranks,modularity_class
en.wikipedia.org/w/index.php?title=IIT_Kanpur&action=edit&section=25,,5,0,5,6e-06,31
en.wikipedia.org/wiki/File:IIT_Kanpur_4.jpg,,10,75,85,7e-06,31
"en.wikipedia.org/wiki/Entrepreneurship_Cell,_IIT_Kanpur",,5,760,765,6e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&action=edit&section=26,,5,0,5,6e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&action=edit&section=27,,5,0,5,6e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&action=edit&section=28,,5,0,5,6e-06,31
en.wikipedia.org/wiki/Harcourt_Butler_Technical_University,,98,1078,1176,8e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&action=edit&section=29,,5,0,5,6e-06,31
nirfindia.org/nirfpdfcdn/2024/pdf/Overall/IR-O-I-1075.pdf,,8,0,8,7e-06,31
iitk.ac.in/infocell/iitk/newhtml/history.htm,,15,0,15,7e-06,31
iitk.ac.in/drpg/social_media/Greeting_2012.htm,,6,0,6,7e-06,31
iitk.ac.in/aero/home/index.php/latest-news/199-iit-kanpur-to-lucknow-helicopter-service-begins,,5,0,5,6e-06,31
spo.iitk.ac.in/reach_us.html,,6,1,7,6e-06,31
nyc.iitk.ac.in/,,5,0,5,6e-06,31
iitk.ac.in/doaa,,6,1,7,7e-06,31
iitk.ac.in/doaa/faqs.pdf,,6,0,6,7e-06,31
business-standard.com/india/news/shot-inarm-for-cat-as-b-schools-seek-credibility/447694/,,7,1,8,7e-06,31
iitk.ac.in/infocell/iitk/newhtml/admissions.htm,,5,0,5,6e-06,31
topuniversities.com/university-rankings/asia-university-rankings/2023,,17,1,18,7e-06,31
search.worldcat.org/issn/0971-8257,,39,1,40,7e-06,31
articles.economictimes.indiatimes.com/2011-10-25/news/30320349_1_nano-satellite-jugnu-iit-kanpur,,6,1,7,7e-06,31
top500.org/list/2015/06/?page=2,,6,1,7,6e-06,31
gktoday.in/topic/iit-kanpur-develops-energy-efficient-system-to-transport-minerals,,5,1,6,6e-06,31
iks.iitk.ac.in/,,5,2,7,6e-06,31
mrtc.mdh.se/eureca/contact.html,,5,0,5,6e-06,31
iitk.ac.in/newdord/templates/r_d/data/R_DNewsletter/november2013.pdf,,6,0,6,7e-06,31
antaragni.in/,,8,1,9,7e-06,31
techkriti.org/,,6,0,6,7e-06,31
udghosh.or/,,6,0,6,7e-06,31
ecelliitk.org/esummit/,,6,1,7,6e-06,31
students.iitk.ac.in/gymkhana/,,8,0,8,7e-06,31
en.wikipedia.org/wiki/Template:Kanpur,,92,202,294,8e-06,31
en.wikipedia.org/wiki/Template_talk:Kanpur,,69,60,129,8e-06,31
en.wikipedia.org/wiki/Special:EditPage/Template:Kanpur,,68,0,68,8e-06,31
en.wikipedia.org/wiki/Kanpur,,152,1057,1209,1e-05,31
en.wikipedia.org/wiki/Siege_of_Cawnpore,,92,564,656,8e-06,31
en.wikipedia.org/wiki/Second_Battle_of_Cawnpore,,92,390,482,8e-06,31
en.wikipedia.org/w/index.php?title=Anandeshwar_Temple&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/wiki/J._K._Temple,,68,284,352,8e-06,31
en.wikipedia.org/w/index.php?title=Sai_Darbar&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Panki_Hanuman_Mandir&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Jain_Glass_Temple&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Kherepati_Temple&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/wiki/Bhitargaon,,73,438,511,8e-06,31
en.wikipedia.org/w/index.php?title=Bara-Devi_Mandir&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Tapeshwari_Mandir&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/wiki/Kanpur_Memorial_Church,,70,238,308,8e-06,31
en.wikipedia.org/wiki/Allen_Forest_Zoo,,69,399,468,8e-06,31
en.wikipedia.org/wiki/Moti_Jheel,,99,393,492,8e-06,31
en.wikipedia.org/wiki/Bithoor,,75,400,475,8e-06,31
en.wikipedia.org/wiki/Jajmau,,69,146,215,8e-06,31
en.wikipedia.org/wiki/Nawabganj_Bird_Sanctuary,,73,655,728,8e-06,31
en.wikipedia.org/wiki/Kanpur_Sangrahalaya,,68,213,281,8e-06,31
en.wikipedia.org/wiki/Ganges_Barrage,,76,377,453,8e-06,31
en.wikipedia.org/w/index.php?title=Rave_3&action=edit&redlink=1,,69,0,69,8e-06,31
en.wikipedia.org/w/index.php?title=Z_Square&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Rave_4&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Patthar_Ghat&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/wiki/Massacre_Ghat,,68,248,316,8e-06,31
